ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,BENEFICIAL_USE_ID,SUMMARY_SEQ,ROW_SEQ,AMOUNT,CONSUMPTIVE_INDICATOR,METHOD_ID,START_DATE,END_DATE
TWDB,2015,22,10,1,1,474.0,2,1,01/01,12/31
TWDB,2015,2,10,1,1,0.0,2,1,01/01,12/31
TWDB,2015,23,10,1,1,3842.0,2,1,01/01,12/31
TWDB,2015,5,10,1,1,1280.0,2,1,01/01,12/31
TWDB,2015,19,10,1,1,806.0,2,1,01/01,12/31
TWDB,2015,20,10,1,1,0.0,2,1,01/01,12/31
TWDB,2015,10,10,1,1,1854.0,2,1,01/01,12/31
TWDB,2015,11,10,1,1,2.0,2,1,01/01,12/31
TWDB,2015,3,10,1,1,0.0,2,1,01/01,12/31
TWDB,2015,8,10,1,1,162.0,2,1,01/01,12/31
TWDB,2015,9,10,1,1,22.0,2,1,01/01,12/31
TWDB,2015,12,11,1,1,177724.0,2,1,01/01,12/31
TWDB,2015,13,11,1,1,2.0,2,1,01/01,12/31
TWDB,2015,9999,11,1,1,0.0,2,1,01/01,12/31
TWDB,2015,14,11,1,1,84557.0,2,1,01/01,12/31
TWDB,2015,15,11,1,1,0.0,2,1,01/01,12/31
TWDB,2015,4,11,1,1,39411.0,2,1,01/01,12/31
TWDB,2015,18,11,1,1,3684.0,2,1,01/01,12/31
TWDB,2015,16,11,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,11,1,1,0.0,2,1,01/01,12/31
TWDB,2015,6,11,1,1,171.0,2,1,01/01,12/31
TWDB,2015,7,11,1,1,0.0,2,1,01/01,12/31
TWDB,2015,21,11,1,1,0.0,2,1,01/01,12/31
TWDB,2015,22,11,1,1,3422.0,2,1,01/01,12/31
TWDB,2015,2,11,1,1,4361.0,2,1,01/01,12/31
TWDB,2015,23,11,1,1,3651.0,2,1,01/01,12/31
TWDB,2015,5,11,1,1,35431.0,2,1,01/01,12/31
TWDB,2015,19,11,1,1,23143.0,2,1,01/01,12/31
TWDB,2015,20,11,1,1,0.0,2,1,01/01,12/31
TWDB,2015,10,11,1,1,14703.0,2,1,01/01,12/31
TWDB,2015,11,11,1,1,2725.0,2,1,01/01,12/31
TWDB,2015,3,11,1,1,5036.0,2,1,01/01,12/31
TWDB,2015,8,11,1,1,21207.0,2,1,01/01,12/31
TWDB,2015,9,11,1,1,883.0,2,1,01/01,12/31
TWDB,2015,12,12,1,1,7946.0,2,1,01/01,12/31
TWDB,2015,13,12,1,1,1.0,2,1,01/01,12/31
TWDB,2015,9999,12,1,1,10828.0,2,1,01/01,12/31
TWDB,2015,14,12,1,1,2360.0,2,1,01/01,12/31
TWDB,2015,15,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,4,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,18,12,1,1,232.0,2,1,01/01,12/31
TWDB,2015,16,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,17,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,6,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,7,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,21,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,22,12,1,1,2537.0,2,1,01/01,12/31
TWDB,2015,2,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,23,12,1,1,3068.0,2,1,01/01,12/31
TWDB,2015,5,12,1,1,1691.0,2,1,01/01,12/31
TWDB,2015,19,12,1,1,24489.0,2,1,01/01,12/31
TWDB,2015,20,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,10,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,11,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,3,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,8,12,1,1,9786.0,2,1,01/01,12/31
TWDB,2015,9,12,1,1,0.0,2,1,01/01,12/31
TWDB,2015,12,1,1,1,1390931.0,2,1,01/01,12/31
TWDB,2015,13,1,1,1,58053.0,2,1,01/01,12/31
TWDB,2015,9999,1,1,1,1363611.0,2,1,01/01,12/31
TWDB,2015,14,1,1,1,819975.0,2,1,01/01,12/31
TWDB,2015,15,1,1,1,40021.0,2,1,01/01,12/31
TWDB,2015,4,1,1,1,279.0,2,1,01/01,12/31
TWDB,2015,18,1,1,1,6473.0,2,1,01/01,12/31
TWDB,2015,16,1,1,1,91220.0,2,1,01/01,12/31
TWDB,2015,17,1,1,1,10859.0,2,1,01/01,12/31
TWDB,2015,6,1,1,1,1720.0,2,1,01/01,12/31
TWDB,2015,7,1,1,1,332.0,2,1,01/01,12/31
TWDB,2015,21,1,1,1,177907.0,2,1,01/01,12/31
TWDB,2015,22,1,1,1,3907.0,2,1,01/01,12/31
TWDB,2015,2,1,1,1,629655.0,2,1,01/01,12/31
TWDB,2015,23,1,1,1,359120.0,2,1,01/01,12/31
TWDB,2015,5,1,1,1,1726.0,2,1,01/01,12/31
TWDB,2015,19,1,1,1,19963.0,2,1,01/01,12/31
TWDB,2015,20,1,1,1,8390.0,2,1,01/01,12/31
TWDB,2015,10,1,1,1,10307.0,2,1,01/01,12/31
TWDB,2015,11,1,1,1,3189.0,2,1,01/01,12/31
TWDB,2015,3,1,1,1,4021.0,2,1,01/01,12/31
TWDB,2015,8,1,1,1,12330.0,2,1,01/01,12/31
TWDB,2015,9,1,1,1,394.0,2,1,01/01,12/31
TWDB,2015,12,2,1,1,39927.0,2,1,01/01,12/31
TWDB,2015,13,2,1,1,43554.0,2,1,01/01,12/31
TWDB,2015,9999,2,1,1,2110.0,2,1,01/01,12/31
TWDB,2015,14,2,1,1,49975.0,2,1,01/01,12/31
TWDB,2015,15,2,1,1,3731.0,2,1,01/01,12/31
TWDB,2015,4,2,1,1,303.0,2,1,01/01,12/31
TWDB,2015,18,2,1,1,1824.0,2,1,01/01,12/31
TWDB,2015,16,2,1,1,31009.0,2,1,01/01,12/31
TWDB,2015,17,2,1,1,2850.0,2,1,01/01,12/31
TWDB,2015,6,2,1,1,8843.0,2,1,01/01,12/31
TWDB,2015,7,2,1,1,134140.0,2,1,01/01,12/31
TWDB,2015,21,2,1,1,19077.0,2,1,01/01,12/31
TWDB,2015,22,2,1,1,453874.0,2,1,01/01,12/31
TWDB,2015,2,2,1,1,31328.0,2,1,01/01,12/31
TWDB,2015,23,2,1,1,207270.0,2,1,01/01,12/31
TWDB,2015,5,2,1,1,2550.0,2,1,01/01,12/31
TWDB,2015,19,2,1,1,2582.0,2,1,01/01,12/31
TWDB,2015,20,2,1,1,99.0,2,1,01/01,12/31
TWDB,2015,10,2,1,1,7643.0,2,1,01/01,12/31
TWDB,2015,11,2,1,1,49586.0,2,1,01/01,12/31
TWDB,2015,3,2,1,1,10868.0,2,1,01/01,12/31
TWDB,2015,8,2,1,1,32343.0,2,1,01/01,12/31
TWDB,2015,9,2,1,1,5687.0,2,1,01/01,12/31
TWDB,2015,12,3,1,1,15820.0,2,1,01/01,12/31
TWDB,2015,13,3,1,1,79.0,2,1,01/01,12/31
TWDB,2015,9999,3,1,1,2430.0,2,1,01/01,12/31
TWDB,2015,14,3,1,1,18154.0,2,1,01/01,12/31
TWDB,2015,15,3,1,1,0.0,2,1,01/01,12/31
TWDB,2015,4,3,1,1,16.0,2,1,01/01,12/31
