ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,SUMMARY_SEQ,BENEFICIAL_USE_ID,FRESH_SALINE_IND,SOURCE_TYPE,POWER_GENERATED,POPULATION_SERVED,WFS_FEATURE_REF
TWDB,2015,48197,1,16,1,1,,77827,
TWDB,2015,48201,1,16,1,1,,1423,
TWDB,2015,48205,1,16,1,1,,5022,
TWDB,2015,48209,1,16,1,1,,3785,
TWDB,2015,48213,1,16,1,1,,5999,
TWDB,2015,48217,1,16,1,1,,2302,
TWDB,2015,48221,1,16,1,1,,7108,
TWDB,2015,48225,1,16,1,1,,2541528,
TWDB,2015,48229,1,16,1,1,,13812,
TWDB,2015,48233,1,16,1,1,,19678,
TWDB,2015,48237,1,16,1,1,,5326,
TWDB,2015,48241,1,16,1,1,,778846,
TWDB,2015,48245,1,16,1,1,,21127,
TWDB,2015,48249,1,16,1,1,,2232,
TWDB,2015,48253,1,16,1,1,,10997,
TWDB,2015,48257,1,16,1,1,,3528,
TWDB,2015,48261,1,16,1,1,,11359,
TWDB,2015,48265,1,16,1,1,,18419,
TWDB,2015,48269,1,16,1,1,,159095,
TWDB,2015,48273,1,16,1,1,,1897,
TWDB,2015,48281,1,16,1,1,,837353,
TWDB,2015,48277,1,16,1,1,,162687,
TWDB,2015,48285,1,16,1,1,,40968,
TWDB,2015,48289,1,16,1,1,,17254,
TWDB,2015,48293,1,16,1,1,,34273,
TWDB,2015,48297,1,16,1,1,,25563,
TWDB,2015,48301,1,16,1,1,,3858,
TWDB,2015,48305,1,16,1,1,,5881,
TWDB,2015,48309,1,16,1,1,,1213,
TWDB,2015,48313,1,16,1,1,,716491,
TWDB,2015,48317,1,16,1,1,,10793,
TWDB,2015,48321,1,16,1,1,,20192,
TWDB,2015,48325,1,16,1,1,,18836,
TWDB,2015,48329,1,16,1,1,,19826,
TWDB,2015,48333,1,16,1,1,,320926,
TWDB,2015,48337,1,16,1,1,,6529,
TWDB,2015,48341,1,16,1,1,,26299,
TWDB,2015,48345,1,16,1,1,,1333,
TWDB,2015,48349,1,16,1,1,,7766,
TWDB,2015,48353,1,16,1,1,,20328,
TWDB,2015,48357,1,16,1,1,,23242,
TWDB,2015,48361,1,16,1,1,,125091,
TWDB,2015,48365,1,16,1,1,,126378,
TWDB,2015,48369,1,16,1,1,,27670,
